Inferred num_concepts=108 from dataset.
[seed 1] epoch 63/100 loss=0.1647 (cls=0.0450 concept=0.9854 sparsity=0.2038 continuity=0.0159) train_acc=1.0000 val_loss=0.7482 (val_cls=0.6286 val_concept=0.9676 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8699
[seed 1] epoch 64/100 loss=0.1636 (cls=0.0442 concept=0.9817 sparsity=0.2035 continuity=0.0159) train_acc=1.0000 val_loss=0.7428 (val_cls=0.6236 val_concept=0.9637 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 65/100 loss=0.1625 (cls=0.0435 concept=0.9779 sparsity=0.2034 continuity=0.0159) train_acc=1.0000 val_loss=0.7439 (val_cls=0.6253 val_concept=0.9571 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 66/100 loss=0.1616 (cls=0.0431 concept=0.9738 sparsity=0.2033 continuity=0.0159) train_acc=1.0000 val_loss=0.7489 (val_cls=0.6309 val_concept=0.9512 val_sparsity=0.2214 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 67/100 loss=0.1610 (cls=0.0427 concept=0.9708 sparsity=0.2035 continuity=0.0159) train_acc=1.0000 val_loss=0.7450 (val_cls=0.6269 val_concept=0.9519 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8676
[seed 1] epoch 68/100 loss=0.1602 (cls=0.0423 concept=0.9676 sparsity=0.2033 continuity=0.0159) train_acc=1.0000 val_loss=0.7480 (val_cls=0.6308 val_concept=0.9429 val_sparsity=0.2214 val_continuity=0.0158) val_acc=0.8676
[seed 1] epoch 69/100 loss=0.1595 (cls=0.0420 concept=0.9647 sparsity=0.2033 continuity=0.0159) train_acc=1.0000 val_loss=0.7435 (val_cls=0.6262 val_concept=0.9430 val_sparsity=0.2214 val_continuity=0.0158) val_acc=0.8610
[seed 1] epoch 70/100 loss=0.1589 (cls=0.0416 concept=0.9618 sparsity=0.2032 continuity=0.0159) train_acc=1.0000 val_loss=0.7434 (val_cls=0.6267 val_concept=0.9380 val_sparsity=0.2212 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 71/100 loss=0.1582 (cls=0.0412 concept=0.9588 sparsity=0.2031 continuity=0.0159) train_acc=1.0000 val_loss=0.7440 (val_cls=0.6274 val_concept=0.9367 val_sparsity=0.2214 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 72/100 loss=0.1575 (cls=0.0408 concept=0.9565 sparsity=0.2030 continuity=0.0159) train_acc=1.0000 val_loss=0.7459 (val_cls=0.6292 val_concept=0.9375 val_sparsity=0.2212 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 73/100 loss=0.1571 (cls=0.0406 concept=0.9541 sparsity=0.2030 continuity=0.0159) train_acc=1.0000 val_loss=0.7468 (val_cls=0.6304 val_concept=0.9347 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8621
